[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.[0m
[33mWARN: <class 'atari_wrapper.FrameStack'> doesn't implement 'reset' method, but it implements deprecated '_reset' method.[0m
23 frames: done 1 games, mean reward 0.0, epsilon 1.0, speed 542.54 frames/s
44 frames: done 2 games, mean reward 0.0, epsilon 1.0, speed 539.41 frames/s
67 frames: done 3 games, mean reward 0.0, epsilon 1.0, speed 543.6 frames/s
90 frames: done 4 games, mean reward 0.0, epsilon 1.0, speed 535.78 frames/s
111 frames: done 5 games, mean reward 0.0, epsilon 1.0, speed 389.99 frames/s
230 frames: done 6 games, mean reward 0.333, epsilon 1.0, speed 584.8 frames/s
251 frames: done 7 games, mean reward 0.286, epsilon 1.0, speed 534.69 frames/s
274 frames: done 8 games, mean reward 0.25, epsilon 1.0, speed 536.42 frames/s
297 frames: done 9 games, mean reward 0.222, epsilon 1.0, speed 533.75 frames/s
369 frames: done 10 games, mean reward 0.3, epsilon 1.0, speed 474.97 frames/s
392 frames: done 11 games, mean reward 0.273, epsilon 1.0, speed 533.56 frames/s
415 frames: done 12 games, mean reward 0.25, epsilon 0.99, speed 532.5 frames/s
438 frames: done 13 games, mean reward 0.231, epsilon 0.99, speed 532.17 frames/s
461 frames: done 14 games, mean reward 0.214, epsilon 0.99, speed 532.77 frames/s
484 frames: done 15 games, mean reward 0.2, epsilon 0.99, speed 413.25 frames/s
507 frames: done 16 games, mean reward 0.188, epsilon 0.99, speed 539.11 frames/s
530 frames: done 17 games, mean reward 0.176, epsilon 0.99, speed 538.59 frames/s
581 frames: done 18 games, mean reward 0.222, epsilon 0.99, speed 563.46 frames/s
604 frames: done 19 games, mean reward 0.211, epsilon 0.99, speed 521.32 frames/s
653 frames: done 20 games, mean reward 0.25, epsilon 0.99, speed 482.7 frames/s
676 frames: done 21 games, mean reward 0.238, epsilon 0.99, speed 521.34 frames/s
697 frames: done 22 games, mean reward 0.227, epsilon 0.99, speed 534.83 frames/s
720 frames: done 23 games, mean reward 0.217, epsilon 0.99, speed 537.94 frames/s
741 frames: done 24 games, mean reward 0.208, epsilon 0.99, speed 537.74 frames/s
